type,price,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi,area,region
Rumah Second,380.0,2,77,42,SHM,Kalasan,Kab. Sleman
Rumah Second,1100.0,3,132,90,SHM,Kalasan,Kab. Sleman
Rumah Second,960.0,3,85,80,SHM,Kasihan,Kab. Bantul
Rumah Second,480.0,2,97,52,SHM,Prambanan,Kab. Sleman
Rumah Second,3500.0,3,392,150,SHM,Panjatan,Kab. Kulon Progo
Rumah Second,1100.0,3,865,225,SHM,Pengasih,Kab. Kulon Progo
Rumah Second,1200.0,4,207,160,SHM,Kalasan,Kab. Sleman
Rumah Second,579.0,2,84,46,SHM,Berbah,Kab. Sleman
Rumah Second,424.0,2,73,40,SHM,Banguntapan,Kab. Bantul
Rumah Second,510.0,3,105,60,SHM,Pleret,Kab. Bantul
Rumah Second,535.0,2,80,36,SHM,Sleman,Kab. Sleman
Rumah Second,1400.0,3,108,130,SHM,Ngaglik,Kab. Sleman
Rumah Second,330.0,2,78,50,SHM,Piyungan,Kab. Bantul
Rumah Second,1700.0,3,140,125,SHM,Depok,Kab. Sleman
Rumah Second,330.0,2,151,62,SHM,Sedayu,Kab. Bantul
Rumah Second,2200.0,5,188,300,SHM,Ngaglik,Kab. Sleman
Rumah Second,850.0,3,120,80,SHM,Ngaglik,Kab. Sleman
Rumah Second,1600.0,3,147,110,SHM,Ngaglik,Kab. Sleman
Rumah Second,1400.0,3,150,160,HGB,Ngemplak,Kab. Sleman
Rumah Second,850.0,3,80,70,SHM,Depok,Kab. Sleman
Rumah Second,2200.0,5,182,177,SHM,Kalasan,Kab. Sleman
Rumah Second,975.0,4,107,105,SHM,Ngemplak,Kab. Sleman
Rumah Second,920.0,3,86,160,SHM,Banguntapan,Kab. Bantul
Rumah Second,1800.0,4,121,136,SHM,Ngaglik,Kab. Sleman
Rumah Second,585.0,3,112,50,SHM,Sleman,Kab. Sleman
Rumah Second,1400.0,3,91,93,SHM,Ngaglik,Kab. Sleman
Rumah Second,250.0,2,60,30,SHM,Pleret,Kab. Bantul
Rumah Second,1300.0,3,120,218,SHM,Gamping,Kab. Sleman
Rumah Second,815.0,3,72,90,SHM,Wates,Kab. Kulon Progo
Rumah Second,525.0,2,106,53,SHM,Tempel,Kab. Sleman
Rumah Second,2200.0,3,182,231,SHM,Ngaglik,Kab. Sleman
Rumah Second,3200.0,5,159,180,SHM,Sleman,Kab. Sleman
Rumah Second,413.0,2,81,40,SHM,Sedayu,Kab. Bantul
Rumah Second,680.0,3,97,65,SHM,Depok,Kab. Sleman
Rumah Second,633.0,2,105,59,SHM,Kalasan,Kab. Sleman
Rumah Second,850.0,3,103,75,SHM,Godean,Kab. Sleman
Rumah Second,574.0,2,131,40,SHM,Mlati,Kab. Sleman
Rumah Second,592.0,2,90,36,SHM,Gondomanan,Kota Yogyakarta
Rumah Second,592.0,2,104,50,SHM,Mlati,Kab. Sleman
Rumah Second,680.0,2,97,65,SHM,Kalasan,Kab. Sleman
Rumah Second,1600.0,3,111,90,SHM,Depok,Kab. Sleman
Rumah Second,2200.0,2,182,177,SHM,Kalasan,Kab. Sleman
Rumah Second,350.0,2,80,30,SHM,Kalasan,Kab. Sleman
Rumah Second,1700.0,5,131,150,HGB,Tegalrejo,Kota Yogyakarta
Rumah Second,495.0,2,84,45,SHM,Sedayu,Kab. Bantul
Rumah Second,1100.0,2,115,50,SHM,Gamping,Kab. Sleman
Rumah Second,1100.0,2,142,60,SHM,Gamping,Kab. Sleman
Rumah Second,1500.0,3,168,130,SHM,Depok,Kab. Sleman
Rumah Second,900.0,3,98,100,SHM,Banguntapan,Kab. Bantul
Rumah Second,999.0,4,103,105,SHM,Ngemplak,Kab. Sleman
Rumah Second,1600.0,4,146,134,SHM,Kalasan,Kab. Sleman
Rumah Second,1300.0,2,208,90,SHM,Gamping,Kab. Sleman
Rumah Second,1300.0,5,227,220,SHM,Gamping,Kab. Sleman
Rumah Second,3200.0,4,159,180,HGB,Sleman,Kab. Sleman
Rumah Second,999.0,3,101,75,HGB,Banguntapan,Kab. Bantul
Rumah Second,2600.0,3,306,145,SHM,Berbah,Kab. Sleman
Rumah Second,2800.0,7,500,350,SHM,Umbulharjo,Kota Yogyakarta
Rumah Second,390.0,2,82,50,SHM,Berbah,Kab. Sleman
Rumah Second,399.0,2,75,55,SHM,Banguntapan,Kab. Bantul
Rumah Second,1400.0,5,141,170,SHM,Banguntapan,Kab. Bantul
Rumah Second,1000.0,2,85,50,SHM,Depok,Kab. Sleman
Rumah Second,3700.0,4,176,146,HGB,Mlati,Kab. Sleman
Rumah Second,495.0,2,112,36,SHM,Sleman,Kab. Sleman
Rumah Second,598.0,2,102,50,SHM,Depok,Kab. Sleman
Rumah Second,1100.0,3,134,90,SHM,Ngemplak,Kab. Sleman
Rumah Second,490.0,2,92,36,SHM,Sleman,Kab. Sleman
Rumah Second,2800.0,3,192,111,HGB,Tegalrejo,Kota Yogyakarta
Rumah Second,2200.0,5,150,336,HGB,Gamping,Kab. Sleman
Rumah Second,775.0,3,106,78,SHM,Kalasan,Kab. Sleman
Rumah Second,357.0,2,103,36,SHM,Prambanan,Kab. Sleman
Rumah Second,757.0,2,120,50,SHM,Kalasan,Kab. Sleman
Rumah Second,175.0,2,67,58,SHM,Mergangsan,Kota Yogyakarta
Rumah Second,1500.0,3,86,120,SHM,Kalasan,Kab. Sleman
Rumah Second,560.7,3,112,55,SHM,Kalasan,Kab. Sleman
Rumah Second,1600.0,4,137,125,SHM,Kalasan,Kab. Sleman
Rumah Second,3000.0,5,145,225,SHM,Ngemplak,Kab. Sleman
Rumah Second,999.0,3,103,100,SHM,Depok,Kab. Sleman
Rumah Second,635.0,3,113,56,SHM,Berbah,Kab. Sleman
Rumah Second,1300.0,3,88,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,1200.0,3,146,100,SHM,Ngaglik,Kab. Sleman
Rumah Second,1800.0,4,150,157,SHM,Ngaglik,Kab. Sleman
Rumah Second,2200.0,5,150,226,HGB,Gamping,Kab. Sleman
Rumah Second,1000.0,3,114,95,HGB,Ngaglik,Kab. Sleman
Rumah Second,2200.0,6,288,243,SHM,Banguntapan,Kab. Bantul
Rumah Second,1000.0,3,132,90,SHM,Kalasan,Kab. Sleman
Rumah Second,2700.0,5,765,200,SHM,Ngemplak,Kab. Sleman
Rumah Second,690.0,3,99,70,SHM,Depok,Kab. Sleman
Rumah Second,525.0,3,111,140,SHM,Tempel,Kab. Sleman
Rumah Second,485.0,2,108,42,SHM,Gamping,Kab. Sleman
Rumah Second,550.0,2,84,70,SHM,Depok,Kab. Sleman
Rumah Second,3300.0,7,1000,744,SHM,Gondokusuman,Kota Yogyakarta
Rumah Second,799.0,3,126,90,SHM,Ngemplak,Kab. Sleman
Rumah Second,1600.0,3,100,108,HGB,Godean,Kab. Sleman
Rumah Second,499.0,2,120,36,SHM,Sleman,Kab. Sleman
Rumah Second,1200.0,4,571,220,SHM,Seyegan,Kab. Sleman
Rumah Second,1800.0,3,150,108,SHM,Ngemplak,Kab. Sleman
Rumah Second,550.0,3,124,58,SHM,Godean,Kab. Sleman
Rumah Second,4800.0,6,843,340,SHM,Ngaglik,Kab. Sleman
Rumah Second,553.0,3,103,70,SHM,Godean,Kab. Sleman
Rumah Second,4500.0,5,220,230,SHM,Mlati,Kab. Sleman
Rumah Second,725.0,3,100,75,SHM,Banguntapan,Kab. Bantul
Rumah Second,1700.0,3,100,108,SHM,Godean,Kab. Sleman
Rumah Second,3800.0,3,204,142,HGB,Mlati,Kab. Sleman
Rumah Second,775.0,3,116,85,SHM,Ngemplak,Kab. Sleman
Rumah Second,200.2,2,60,30,HGB,Moyudan,Kab. Sleman
Rumah Second,538.0,2,84,46,SHM,Berbah,Kab. Sleman
Rumah Second,465.0,3,80,45,SHM,Berbah,Kab. Sleman
Rumah Second,592.0,2,104,50,SHM,Sleman,Kab. Sleman
Rumah Second,625.0,2,95,70,SHM,Ngemplak,Kab. Sleman
Rumah Second,1000.0,2,86,65,HGB,Tegalrejo,Kota Yogyakarta
Rumah Second,4900.0,4,262,300,SHM,Ngaglik,Kab. Sleman
Rumah Second,375.0,2,72,72,SHM,Kalasan,Kab. Sleman
Rumah Second,395.0,2,80,45,SHM,Godean,Kab. Sleman
Rumah Second,5000.0,12,650,900,SHM,Ngaglik,Kab. Sleman
Rumah Second,1400.0,3,105,90,SHM,Ngaglik,Kab. Sleman
Rumah Second,720.0,3,100,63,SHM,Kalasan,Kab. Sleman
Rumah Second,299.0,2,60,30,HGB,Seyegan,Kab. Sleman
Rumah Second,575.0,3,97,56,SHM,Berbah,Kab. Sleman
Rumah Second,1700.0,3,188,355,SHM,Tegalrejo,Kota Yogyakarta
Rumah Second,1400.0,3,109,115,SHM,Ngaglik,Kab. Sleman
Rumah Second,1400.0,3,110,90,SHM,Ngaglik,Kab. Sleman
Rumah Second,785.0,3,110,75,SHM,Godean,Kab. Sleman
Rumah Second,1300.0,3,121,100,SHM,Ngaglik,Kab. Sleman
Rumah Second,1700.0,4,169,150,SHM,Ngemplak,Kab. Sleman
Rumah Second,1100.0,4,130,120,SHM,Ngemplak,Kab. Sleman
Rumah Second,233.0,2,60,30,SHM,Ngaglik,Kab. Sleman
Rumah Second,1300.0,3,85,122,SHM,Kasihan,Kab. Bantul
Rumah Second,2100.0,4,177,135,SHM,Ngaglik,Kab. Sleman
Rumah Second,585.0,3,111,55,SHM,Kalasan,Kab. Sleman
Rumah Second,650.0,2,79,60,SHM,Banguntapan,Kab. Bantul
Rumah Second,2200.0,5,182,177,SHM,Sleman,Kab. Sleman
Rumah Second,575.0,2,96,50,SHM,Ngaglik,Kab. Sleman
Rumah Second,850.0,3,92,105,SHM,Banguntapan,Kab. Bantul
Rumah Second,476.0,2,112,36,SHM,Mlati,Kab. Sleman
Rumah Second,425.0,2,107,55,SHM,Kasihan,Kab. Bantul
Rumah Second,1500.0,3,94,119,SHM,Depok,Kab. Sleman
Rumah Second,198.0,2,72,36,SHM,Playen,Kab. Gunung Kidul
Rumah Second,200.0,2,72,36,SHM,Playen,Kab. Gunung Kidul
Rumah Second,535.0,2,97,45,SHM,Berbah,Kab. Sleman
Rumah Second,785.0,3,112,75,SHM,Godean,Kab. Sleman
Rumah Second,495.0,2,112,36,SHM,Ngaglik,Kab. Sleman
Rumah Second,1300.0,3,100,100,SHM,Ngemplak,Kab. Sleman
Rumah Second,785.0,3,110,75,SHM,Mlati,Kab. Sleman
Rumah Second,433.0,2,82,55,SHM,Sedayu,Kab. Bantul
Rumah Second,915.0,3,65,160,SHM,Banguntapan,Kab. Bantul
Rumah Second,1400.0,5,120,200,SHM,Ngaglik,Kab. Sleman
Rumah Second,1300.0,4,116,140,SHM,Ngemplak,Kab. Sleman
Rumah Second,200.0,2,60,30,SHM,Moyudan,Kab. Sleman
Rumah Second,799.0,3,119,95,SHM,Banguntapan,Kab. Bantul
Rumah Second,1100.0,3,240,90,SHM,Ngemplak,Kab. Sleman
Rumah Second,395.0,2,106,50,SHM,Kasihan,Kab. Bantul
Rumah Second,985.0,3,96,52,SHM,Gamping,Kab. Sleman
Rumah Second,715.0,2,100,65,SHM,Gamping,Kab. Sleman
Rumah Second,1500.0,4,119,165,SHM,Depok,Kab. Sleman
Rumah Second,1200.0,4,99,105,SHM,Banguntapan,Kab. Bantul
Rumah Second,845.0,3,123,75,SHM,Ngemplak,Kab. Sleman
Rumah Second,1000.0,2,103,103,SHM,Gamping,Kab. Sleman
Rumah Second,550.0,2,125,80,SHM,Mlati,Kab. Sleman
Rumah Second,160.0,1,20,18,SHM,Ngaglik,Kab. Sleman
Rumah Second,799.0,4,126,90,SHM,Ngemplak,Kab. Sleman
Rumah Second,775.0,3,105,70,SHM,Kalasan,Kab. Sleman
Rumah Second,380.0,2,84,50,SHM,Pajangan,Kab. Bantul
Rumah Second,5000.0,7,1000,300,HGB,Gamping,Kab. Sleman
Rumah Second,550.0,2,88,45,SHM,Depok,Kab. Sleman
Rumah Second,380.0,2,84,58,SHM,Pajangan,Kab. Bantul
Rumah Second,585.0,2,112,50,SHM,Sleman,Kab. Sleman
Rumah Second,18000.0,4,800,600,HGB,Ngaglik,Kab. Sleman
Rumah Second,1200.0,3,130,100,SHM,Depok,Kab. Sleman
Rumah Second,4500.0,3,700,700,SHM,Lendah,Kab. Kulon Progo
Rumah Second,3000.0,24,250,300,SHM,Depok,Kab. Sleman
Rumah Second,585.0,3,100,56,SHM,Depok,Kab. Sleman
Rumah Second,5800.0,5,717,500,SHM,Kasihan,Kab. Bantul
Rumah Second,385.0,2,90,50,SHM,Pajangan,Kab. Bantul
Rumah Second,1400.0,3,77,100,SHM,Kalasan,Kab. Sleman
Rumah Second,925.0,4,120,130,SHM,Ngaglik,Kab. Sleman
Rumah Second,699.0,11,135,150,SHM,Depok,Kab. Sleman
Rumah Second,245.0,2,75,36,SHM,Kalasan,Kab. Sleman
Rumah Second,799.0,3,126,90,SHM,Ngaglik,Kab. Sleman
Rumah Second,1500.0,3,110,80,SHM,Ngemplak,Kab. Sleman
Rumah Second,799.0,3,120,85,SHM,Ngemplak,Kab. Sleman
Rumah Second,2200.0,5,150,336,SHM,Gamping,Kab. Sleman
Rumah Second,760.0,3,109,100,SHM,Ngaglik,Kab. Sleman
Rumah Second,430.0,2,81,36,SHM,Sedayu,Kab. Bantul
Rumah Second,600.0,2,112,40,SHM,Kasihan,Kab. Bantul
Rumah Second,1900.0,3,240,100,SHM,Pakem,Kab. Sleman
Rumah Second,1400.0,3,201,201,SHM,Ngaglik,Kab. Sleman
Rumah Second,1400.0,3,77,100,SHM,Sleman,Kab. Sleman
Rumah Second,367.0,2,60,36,SHM,Godean,Kab. Sleman
Rumah Second,1400.0,18,450,300,SHM,Umbulharjo,Kota Yogyakarta
Rumah Baru,200.0,2,64,39,HGB,Patuk,Kab. Gunung Kidul
Rumah Second,2500.0,4,190,190,SHM,Ngaglik,Kab. Sleman
Rumah Baru,130.0,2,60,30,HGB,Playen,Kab. Gunung Kidul
Rumah Second,220.0,1,60,21,SHM,Prambanan,Kab. Sleman
Rumah Second,425.0,2,100,70,SHM,Seyegan,Kab. Sleman
Rumah Second,515.0,2,107,43,SHM,Kalasan,Kab. Sleman
Rumah Second,1800.0,5,240,240,SHM,Godean,Kab. Sleman
Rumah Second,550.0,2,100,45,SHM,Gamping,Kab. Sleman
Rumah Second,695.0,3,91,64,SHM,Kotagede,Kota Yogyakarta
Rumah Second,3800.0,6,1038,600,SHM,Ngaglik,Kab. Sleman
Rumah Second,500.0,2,103,90,SHM,Kalasan,Kab. Sleman
Rumah Second,1600.0,4,184,240,SHM,Depok,Kab. Sleman
Rumah Second,425.0,2,100,36,SHM,Patuk,Kab. Gunung Kidul
Rumah Second,655.0,3,158,90,SHM,Berbah,Kab. Sleman
Rumah Second,6800.0,6,843,340,SHM,Ngaglik,Kab. Sleman
Rumah Second,685.0,3,107,46,SHM,Depok,Kab. Sleman
Rumah Second,1900.0,3,126,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,1700.0,3,232,255,SHM,Mantrijeron,Kota Yogyakarta
Rumah Second,385.0,2,64,40,SHM,Kasihan,Kab. Bantul
Rumah Second,3900.0,9,330,400,SHM,Banguntapan,Kab. Bantul
Rumah Second,650.0,8,111,111,SHM,Gamping,Kab. Sleman
Rumah Second,950.0,2,65,106,SHM,Mlati,Kab. Sleman
Rumah Second,550.0,3,111,222,SHM,Pundong,Kab. Bantul
Rumah Second,900.0,4,190,170,SHM,Kalasan,Kab. Sleman
Rumah Second,1200.0,5,170,260,SHM,Umbulharjo,Kota Yogyakarta
Rumah Second,1100.0,2,109,109,SHM,Depok,Kab. Sleman
Rumah Second,500.0,2,103,95,SHM,Kalasan,Kab. Sleman
Rumah Second,900.0,3,130,80,SHM,Ngaglik,Kab. Sleman
Rumah Second,630.0,4,150,130,SHM,Gamping,Kab. Sleman
Rumah Second,2300.0,3,249,117,SHM,Godean,Kab. Sleman
Rumah Second,490.0,2,84,45,SHM,Sedayu,Kab. Bantul
Rumah Second,2900.0,4,134,154,SHM,Gamping,Kab. Sleman
Rumah Second,582.0,2,85,46,SHM,Berbah,Kab. Sleman
Rumah Second,1500.0,3,104,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,4800.0,4,252,250,HGB,Mlati,Kab. Sleman
Rumah Second,2000.0,2,174,100,SHM,Mlati,Kab. Sleman
Rumah Second,1500.0,4,131,175,SHM,Kalasan,Kab. Sleman
Rumah Second,495.0,2,97,50,SHM,Banguntapan,Kab. Bantul
Rumah Second,410.0,3,105,105,SHM,Kasihan,Kab. Bantul
Rumah Second,1200.0,4,170,102,SHM,Kalasan,Kab. Sleman
Rumah Second,399.0,2,82,45,SHM,Sedayu,Kab. Bantul
Rumah Second,2200.0,3,133,95,SHM,Kasihan,Kab. Bantul
Rumah Second,725.0,3,72,130,SHM,Sedayu,Kab. Bantul
Rumah Second,535.0,2,80,36,SHM,Depok,Kab. Sleman
Rumah Second,710.0,2,88,47,HGB,Godean,Kab. Sleman
Rumah Second,1200.0,3,110,125,SHM,Prambanan,Kab. Sleman
Rumah Second,825.0,3,99,66,SHM,Depok,Kab. Sleman
Rumah Second,875.0,3,131,70,SHM,Mlati,Kab. Sleman
Rumah Second,1800.0,3,150,104,SHM,Ngemplak,Kab. Sleman
Rumah Second,2300.0,4,150,250,SHM,Godean,Kab. Sleman
Rumah Second,1100.0,3,107,110,SHM,Prambanan,Kab. Sleman
Rumah Second,815.0,3,110,75,SHM,Sleman,Kab. Sleman
Rumah Second,815.0,3,112,75,SHM,Mlati,Kab. Sleman
Rumah Second,1500.0,4,128,250,SHM,Kasihan,Kab. Bantul
Rumah Second,1100.0,3,160,110,SHM,Depok,Kab. Sleman
Rumah Second,430.0,2,36,81,SHM,Sedayu,Kab. Bantul
Rumah Second,1300.0,3,80,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,655.0,2,107,36,SHM,Ngaglik,Kab. Sleman
Rumah Second,465.0,2,92,36,SHM,Sleman,Kab. Sleman
Rumah Second,800.0,3,131,150,SHM,Kalasan,Kab. Sleman
Rumah Second,489.0,2,92,36,SHM,Mlati,Kab. Sleman
Rumah Second,4600.0,5,202,250,SHM,Ngaglik,Kab. Sleman
Rumah Second,2500.0,3,176,170,SHM,Ngemplak,Kab. Sleman
Rumah Second,250.0,2,25,88,SHM,Depok,Kab. Sleman
Rumah Second,785.0,3,112,75,SHM,Tegalrejo,Kota Yogyakarta
Rumah Second,4500.0,6,319,405,SHM,Ngemplak,Kab. Sleman
Rumah Second,785.0,3,112,75,SHM,Gamping,Kab. Sleman
Rumah Second,1600.0,3,88,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,839.0,2,91,45,SHM,Gamping,Kab. Sleman
Rumah Second,1400.0,3,104,120,SHM,Ngaglik,Kab. Sleman
Rumah Second,585.0,3,126,75,SHM,Bantul,Kab. Bantul
Rumah Second,785.0,3,108,60,SHM,Seyegan,Kab. Sleman
Rumah Second,4500.0,6,319,405,SHM,Ngaglik,Kab. Sleman
Rumah Second,650.0,3,121,85,SHM,Kalasan,Kab. Sleman
Rumah Second,495.0,2,112,36,SHM,Jetis,Kota Yogyakarta
Rumah Second,2300.0,5,120,150,SHM,Sewon,Kab. Bantul
Rumah Second,1200.0,4,105,95,SHM,Banguntapan,Kab. Bantul
Rumah Second,541.5,2,120,36,SHM,Mlati,Kab. Sleman
Rumah Second,1600.0,4,110,90,SHM,Gamping,Kab. Sleman
Rumah Second,585.0,2,83,50,HGB,Ngaglik,Kab. Sleman
Rumah Second,765.0,2,108,50,SHM,Seyegan,Kab. Sleman
Rumah Second,3300.0,3,166,135,HGB,Gedongtengen (Gedong Tengen),Kota Yogyakarta
Rumah Second,4400.0,3,260,142,HGB,Gedongtengen (Gedong Tengen),Kota Yogyakarta
Rumah Second,2100.0,3,111,107,HGB,Gondokusuman,Kota Yogyakarta
Rumah Second,450.0,4,91,91,SHM,Mergangsan,Kota Yogyakarta
Rumah Second,520.0,3,107,75,SHM,Bantul,Kab. Bantul
Rumah Second,570.0,2,70,40,SHM,Ngemplak,Kab. Sleman
Rumah Second,395.0,2,94,50,SHM,Kalasan,Kab. Sleman
Rumah Second,650.0,2,100,45,SHM,Sleman,Kab. Sleman
Rumah Second,1400.0,4,104,136,SHM,Ngaglik,Kab. Sleman
Rumah Second,800.0,3,123,73,SHM,Jetis,Kota Yogyakarta
Rumah Second,1400.0,3,138,83,SHM,Ngaglik,Kab. Sleman
Rumah Second,623.0,3,91,60,SHM,Depok,Kab. Sleman
Rumah Second,350.0,2,106,50,SHM,Moyudan,Kab. Sleman
Rumah Second,199.0,2,64,26,SHM,Kalasan,Kab. Sleman
Rumah Second,895.0,2,84,48,SHM,Ngaglik,Kab. Sleman
Rumah Second,2500.0,6,210,240,SHM,Ngaglik,Kab. Sleman
Rumah Second,395.0,2,80,45,SHM,Gamping,Kab. Sleman
Rumah Second,199.0,2,64,26,SHM,Prambanan,Kab. Sleman
Rumah Second,750.0,3,130,60,SHM,Mlati,Kab. Sleman
Rumah Second,750.0,3,109,70,HGB,Mlati,Kab. Sleman
Rumah Second,2300.0,4,123,145,SHM,Ngaglik,Kab. Sleman
Rumah Second,798.9,3,126,90,SHM,Ngemplak,Kab. Sleman
Rumah Second,175.0,2,60,36,HGB,Wonosari,Kab. Gunung Kidul
Rumah Second,550.0,2,88,45,SHM,Kalasan,Kab. Sleman
Rumah Second,1800.0,3,121,100,SHM,Ngaglik,Kab. Sleman
Rumah Second,598.0,2,102,50,SHM,Mlati,Kab. Sleman
Rumah Second,750.0,3,120,60,SHM,Sleman,Kab. Sleman
Rumah Second,625.0,2,101,45,SHM,Banguntapan,Kab. Bantul
Rumah Second,480.0,2,140,50,SHM,Berbah,Kab. Sleman
Rumah Second,2500.0,8,256,350,SHM,Kretek,Kab. Bantul
Rumah Second,3000.0,7,225,400,SHM,Ngaglik,Kab. Sleman
Rumah Second,625.0,3,91,60,SHM,Kalasan,Kab. Sleman
Rumah Second,1600.0,3,113,125,SHM,Kalasan,Kab. Sleman
Rumah Second,550.0,3,101,80,SHM,Kalasan,Kab. Sleman
Rumah Second,350.0,2,88,45,SHM,Sedayu,Kab. Bantul
Rumah Second,535.0,2,80,50,SHM,Depok,Kab. Sleman
Rumah Second,1600.0,5,154,320,SHM,Ngaglik,Kab. Sleman
Rumah Second,750.0,2,119,100,SHM,Mantrijeron,Kota Yogyakarta
Rumah Second,1900.0,5,142,190,SHM,Godean,Kab. Sleman
Rumah Second,1200.0,3,148,90,SHM,Godean,Kab. Sleman
Rumah Second,1500.0,4,131,120,SHM,Kalasan,Kab. Sleman
Rumah Second,460.0,3,98,60,SHM,Kasihan,Kab. Bantul
Rumah Second,1100.0,3,108,80,SHM,Kasihan,Kab. Bantul
Rumah Second,1300.0,4,207,160,SHM,Kalasan,Kab. Sleman
Rumah Second,650.0,3,104,70,SHM,Ngemplak,Kab. Sleman
Rumah Second,550.0,2,89,51,SHM,Kalasan,Kab. Sleman
Rumah Second,27.0,4,100,80,SHM,Ngaglik,Kab. Sleman
Rumah Second,775.0,3,106,70,SHM,Kalasan,Kab. Sleman
Rumah Second,800.0,3,123,73,SHM,Gamping,Kab. Sleman
Rumah Second,398.0,2,107,36,SHM,Seyegan,Kab. Sleman
Rumah Second,485.0,2,80,45,SHM,Sewon,Kab. Bantul
Rumah Second,800.0,3,123,73,SHM,Godean,Kab. Sleman
Rumah Second,470.0,2,80,40,SHM,Kasihan,Kab. Bantul
Rumah Second,2600.0,2,354,234,SHM,Kalasan,Kab. Sleman
Rumah Second,750.0,2,100,50,SHM,Sleman,Kab. Sleman
